epoch,model_name,model_size,patch_size,window_size,image_size,difficulty_bonus,train_weighted_log_loss,validation_weighted_log_loss,train_weighted_f1,validation_weighted_f1,train_weighted_accuracy,validation_weighted_accuracy
41,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.44628918694585,1.0638872600527032,0.827022371499866,0.6417211044641344,0.8647718365715531,0.6227960680293336
42,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.3746692279733116,0.9024208961008637,0.8232479092131745,0.6002040155851408,0.8883416300279786,0.6356295833983461
43,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.4057734953881711,0.4438162911869985,0.8008395453337256,0.7376740321349552,0.8601757359315225,0.849001404275238
44,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.4339262204553573,0.7929081073433426,0.8055015287296684,0.6166005085049345,0.8535727262817484,0.7030738024652832
45,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.329593601822079,0.8296016746432445,0.85481100031933,0.6596228153763992,0.9069790861004842,0.6902402870962708
46,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.3628926232595897,0.42116266416815157,0.8532968685092135,0.7535051155740811,0.8981196177464482,0.8549695740365111
47,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.31045144454522694,0.6523335851227017,0.8571830468382193,0.6713401540987748,0.907731239001905,0.7576845061632079
48,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.31505764893129573,0.6893512120480749,0.8885035968884907,0.6587378940225772,0.9130794925433564,0.7209783117491028
49,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.34667449678535256,0.5039264200303041,0.8759187858055681,0.7440534205169329,0.9093187280362528,0.8182633796224059
50,microsoft/swinv2-tiny-patch4-window8-256,tiny,4,8,256,0.0,0.3491428474654999,0.5650326677232639,0.8271995467345068,0.7013956572697551,0.8979532512834354,0.7696208456857543
1,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.6931570454208573,0.6929189667651168,0.457847208489882,0.4563520871143375,0.5441708150139893,0.5640115462630676
